jurisdiction,country_region,province_state,date,age,deaths_daily
Canada,Canada,,2020-03-08,80+,1
Canada,Canada,,2020-03-11,70-79,1
Canada,Canada,,2020-03-16,,3
Canada,Canada,,2020-03-17,,2
Canada,Canada,,2020-03-17,80+,1
Canada,Canada,,2020-03-18,80+,1
Canada,Canada,,2020-03-19,,1
Canada,Canada,,2020-03-19,50-59,1
Canada,Canada,,2020-03-19,60-69,1
Canada,Canada,,2020-03-20,80+,1
Canada,Canada,,2020-03-21,70-79,4
Canada,Canada,,2020-03-21,80+,1
Canada,Canada,,2020-03-22,70-79,2
Canada,Canada,,2020-03-22,80+,1
Canada,Canada,,2020-03-23,,3
Canada,Canada,,2020-03-24,80+,3
Canada,Canada,,2020-03-25,,4
Canada,Canada,,2020-03-25,70-79,1
Canada,Canada,,2020-03-25,80+,3
Canada,Canada,,2020-03-26,40-49,1
Canada,Canada,,2020-03-26,70-79,1
Canada,Canada,,2020-03-26,80+,2
Canada,Canada,,2020-03-27,,4
Canada,Canada,,2020-03-27,60-69,1
Canada,Canada,,2020-03-27,70-79,10
Canada,Canada,,2020-03-27,80+,1
Canada,Canada,,2020-03-28,,1
Canada,Canada,,2020-03-28,70-79,3
Canada,Canada,,2020-03-28,80+,2
Canada,Canada,,2020-03-29,70-79,1
Canada,Canada,,2020-03-29,80+,4
Canada,Canada,,2020-03-30,,4
Canada,Canada,,2020-03-30,30-39,1
Canada,Canada,,2020-03-30,50-59,1
Canada,Canada,,2020-03-30,60-69,1
Canada,Canada,,2020-03-30,70-79,9
Canada,Canada,,2020-03-30,80+,8
Canada,Canada,,2020-03-31,,22
Canada,Canada,,2020-03-31,40-49,1
Canada,Canada,,2020-03-31,70-79,8
Canada,Canada,,2020-03-31,80+,5
Canada,Canada,,2020-04-01,,10
Canada,Canada,,2020-04-01,70-79,3
Canada,Canada,,2020-04-01,80+,6
Canada,Canada,,2020-04-02,,15
Canada,Canada,,2020-04-02,50-59,3
Canada,Canada,,2020-04-02,60-69,1
Canada,Canada,,2020-04-02,70-79,2
Canada,Canada,,2020-04-02,80+,4
Canada,Canada,,2020-04-03,,12
Canada,Canada,,2020-04-03,20-29,1
Canada,Canada,,2020-04-03,30-39,1
Canada,Canada,,2020-04-03,40-49,1
Canada,Canada,,2020-04-03,50-59,1
Canada,Canada,,2020-04-03,60-69,2
Canada,Canada,,2020-04-03,70-79,25
Canada,Canada,,2020-04-03,80+,10
Canada,Canada,,2020-04-04,,36
Canada,Canada,,2020-04-04,50-59,1
Canada,Canada,,2020-04-04,60-69,7
Canada,Canada,,2020-04-04,80+,5
Canada,Canada,,2020-04-05,,23
Canada,Canada,,2020-04-05,60-69,3
Canada,Canada,,2020-04-05,70-79,1
Canada,Canada,,2020-04-05,80+,3
Canada,Canada,,2020-04-06,,44
Canada,Canada,,2020-04-06,60-69,1
Canada,Canada,,2020-04-06,70-79,1
Canada,Canada,,2020-04-06,80+,5
Canada,Canada,,2020-04-07,,56
Canada,Canada,,2020-04-07,60-69,2
Canada,Canada,,2020-04-07,70-79,3
Canada,Canada,,2020-04-07,80+,3
Canada,Canada,,2020-04-08,,52
Canada,Canada,,2020-04-08,80+,3
Canada,Canada,,2020-04-09,,65
Canada,Canada,,2020-04-09,60-69,1
Canada,Canada,,2020-04-09,70-79,1
Canada,Canada,,2020-04-09,80+,2
Canada,Canada,,2020-04-10,,70
Canada,Canada,,2020-04-10,60-69,2
