scenario,jurisdiction,source,date,day_model,rate
Italy,Canada,Canada,2020-03-02,9,0.2507891285669063
Italy,Canada,Canada,2020-03-03,10,0.19682087459865238
Italy,Canada,Canada,2020-03-04,11,0.22851603129380907
Italy,Canada,Canada,2020-03-05,12,0.20360020637798415
Italy,Canada,Canada,2020-03-06,13,0.20344841524258644
Italy,Canada,Canada,2020-03-07,14,0.20111741291158414
Italy,Canada,Canada,2020-03-08,15,0.22704333883751004
Italy,Canada,Canada,2020-03-09,16,0.2279251730526776
Italy,Canada,Canada,2020-03-10,17,0.23319337228639408
Italy,Canada,Canada,2020-03-11,18,0.2349120844626226
Italy,Canada,Canada,2020-03-12,19,0.2466282208424361
Italy,Canada,Canada,2020-03-13,20,0.21329907721917485
Italy,Canada,Canada,2020-03-14,21,0.219941662007455
Italy,Canada,Canada,2020-03-15,22,0.23097898456662774
Italy,Canada,Canada,2020-03-16,23,0.205229886875084
Italy,Canada,Canada,2020-03-17,24,0.1770283802837469
Italy,Canada,Canada,2020-03-18,25,0.17567710382464544
Italy,Canada,Canada,2020-03-19,26,0.1698677790498034
Italy,Canada,Canada,2020-03-20,27,0.14424496953952587
Italy,Canada,Canada,2020-03-21,28,0.13115005108387934
Italy,Canada,Canada,2020-03-22,29,0.13849504098576063
Italy,Canada,Canada,2020-03-23,30,0.13168114640879736
Italy,Canada,Canada,2020-03-24,31,0.13010674684517376
Italy,Canada,Canada,2020-03-25,32,0.12576291524378821
Italy,Canada,Canada,2020-03-26,33,0.12269713698072479
Italy,Canada,Canada,2020-03-27,34,0.11521968318875744
Italy,Canada,Italy,2020-03-28,35,0.10243728655017217
Italy,Canada,Italy,2020-03-29,36,0.09546938861137176
Italy,Canada,Italy,2020-03-30,37,0.08977442181723047
Italy,Canada,Italy,2020-03-31,38,0.08260869235727952
Italy,Canada,Italy,2020-04-01,39,0.07759779027255365
Italy,Canada,Italy,2020-04-02,40,0.07220791368932482
Italy,Canada,Italy,2020-04-03,41,0.06357532529246286
Italy,Canada,Italy,2020-04-04,42,0.05720911073939565
Italy,Canada,Italy,2020-04-05,43,0.052890064739268855
Italy,Canada,Italy,2020-04-06,44,0.048036095377133055
Italy,Canada,Italy,2020-04-07,45,0.043848600244213186
Italy,Canada,Italy,2020-04-08,46,0.04081375388188423
Italy,Canada,Italy,2020-04-09,47,0.03804344593322583
Italy,Canada,Italy,2020-04-10,48,0.03438682213242705
Italy,Canada,Italy,2020-04-11,49,0.032393172626842416
Italy,Canada,Italy,2020-04-12,50,0.03186437691889074
Italy,Canada,Italy,2020-04-13,51,0.030464770649851137
Italy,Canada,Italy,2020-04-14,52,0.029098095010948906
Italy,Canada,Italy,2020-04-15,53,0.028463651713270127
Italy,Canada,Italy,2020-04-16,54,0.026982288213895367
Italy,Canada,Italy,2020-04-17,55,0.02558881848408207
Italy,Canada - Quebec,Canada - Quebec,2020-03-11,9,0.3368654284783317
Italy,Canada - Quebec,Canada - Quebec,2020-03-12,10,0.3253293021881071
Italy,Canada - Quebec,Canada - Quebec,2020-03-13,11,0.21458856144736632
Italy,Canada - Quebec,Canada - Quebec,2020-03-14,12,0.22181209703969623
Italy,Canada - Quebec,Canada - Quebec,2020-03-15,13,0.24844203276054105
Italy,Canada - Quebec,Canada - Quebec,2020-03-16,14,0.2518090361275444
Italy,Canada - Quebec,Canada - Quebec,2020-03-17,15,0.2511741154926238
Italy,Canada - Quebec,Canada - Quebec,2020-03-18,16,0.2568657390157885
Italy,Canada - Quebec,Canada - Quebec,2020-03-19,17,0.2688947427460371
Italy,Canada - Quebec,Canada - Quebec,2020-03-20,18,0.20672848190618914
Italy,Canada - Quebec,Canada - Quebec,2020-03-21,19,0.19206767956046078
Italy,Canada - Quebec,Canada - Quebec,2020-03-22,20,0.18706767956046078
Italy,Canada - Quebec,Canada - Quebec,2020-03-23,21,0.16843503370844587
Italy,Canada - Quebec,Canada - Quebec,2020-03-24,22,0.16963991432344408
Italy,Canada - Quebec,Canada - Quebec,2020-03-25,23,0.16553482401145722
Italy,Canada - Quebec,Canada - Quebec,2020-03-26,24,0.1583984268169205
Italy,Canada - Quebec,Canada - Quebec,2020-03-27,25,0.15547623271115152
Italy,Canada - Quebec,Italy,2020-03-28,26,0.14899219200294145
Italy,Canada - Quebec,Italy,2020-03-29,27,0.1417727614420041
Italy,Canada - Quebec,Italy,2020-03-30,28,0.13311679031966578
Italy,Canada - Quebec,Italy,2020-03-31,29,0.12799943922113718
Italy,Canada - Quebec,Italy,2020-04-01,30,0.11592005587039163
Italy,Canada - Quebec,Italy,2020-04-02,31,0.10243728655017217
Italy,Canada - Quebec,Italy,2020-04-03,32,0.09546938861137176
Italy,Canada - Quebec,Italy,2020-04-04,33,0.08977442181723047
Italy,Canada - Quebec,Italy,2020-04-05,34,0.08260869235727952
Italy,Canada - Quebec,Italy,2020-04-06,35,0.07759779027255365
Italy,Canada - Quebec,Italy,2020-04-07,36,0.07220791368932482
Italy,Canada - Quebec,Italy,2020-04-08,37,0.06357532529246286
Italy,Canada - Quebec,Italy,2020-04-09,38,0.05720911073939565
Italy,Canada - Quebec,Italy,2020-04-10,39,0.052890064739268855
Italy,Canada - Quebec,Italy,2020-04-11,40,0.048036095377133055
Italy,Canada - Quebec,Italy,2020-04-12,41,0.043848600244213186
